ICD9	ICD9.String	PheCode	Phenotype	ICD9Nodots
001	Cholera	008	Intestinal infection	001
001.0	Cholera due to Vibrio cholerae	008	Intestinal infection	0010
001.1	Cholera due to Vibrio cholerae el tor	008	Intestinal infection	0011
001.9	Cholera NOS	008	Intestinal infection	0019
002	Typhoid and paratyphoid fevers	008	Intestinal infection	002
002.0	Typhoid fever	008.5	Bacterial enteritis	0020
002.1	Paratyphoid fever A	008	Intestinal infection	0021
002.2	Paratyphoid fever B	008	Intestinal infection	0022
002.3	Paratyphoid fever C	008	Intestinal infection	0023
002.9	Paratyphoid fever NOS	008	Intestinal infection	0029
003	Other salmonella infections	008.5	Bacterial enteritis	003
003.0	Salmonella gastroenteritis	008.5	Bacterial enteritis	0030
003.1	Salmonella septicemia	038.1	Gram negative septicemia	0031
003.2	Localized salmonella infections	008.5	Bacterial enteritis	0032
003.20	Localized salmonella infection, unspecified	008.5	Bacterial enteritis	00320
003.21	Salmonella meningitis	320	Meningitis	00321
003.22	Salmonella pneumonia	480.1	Bacterial pneumonia	00322
003.23	Salmonella arthritis	711	Arthropathy associated with infections	00323
003.24	Salmonella osteomyelitis	710.1	Osteomyelitis	00324
003.29	Other localized salmonella infections	008.5	Bacterial enteritis	00329
003.8	Other specified salmonella infections	008.5	Bacterial enteritis	0038
003.9	Salmonella infection NOS	008.5	Bacterial enteritis	0039
004	Shigellosis	008.5	Bacterial enteritis	004
004.0	Shigella dysenteriae	008.5	Bacterial enteritis	0040
004.1	Shigella flexneri	008.5	Bacterial enteritis	0041
004.2	Shigella boydii	008.5	Bacterial enteritis	0042
004.3	Shigella sonnei	008.5	Bacterial enteritis	0043
004.8	Other specified shigella infections	008.5	Bacterial enteritis	0048
004.9	Shigellosis NOS	008.5	Bacterial enteritis	0049
005	Other food poisoning (bacterial)	008.5	Bacterial enteritis	005
005.0	Staphylococcal food poisoning	008.5	Bacterial enteritis	0050
005.1	Botulism food poisoning	008.5	Bacterial enteritis	0051
005.2	Food poisoning due to Clostridium perfringens [C. welchii]	008.5	Bacterial enteritis	0052
